tweet_text,is_there_an_emotion_directed_at_a_brand_or_product,target
wesley83 3g iphone 3 hrs tweeting riseaustin dead need upgrade plugin stations sxsw,Negative emotion,1
jessedee know fludapp awesome ipad iphone app youll likely appreciate design also theyre giving free ts sxsw,Positive emotion,0
swonderlin wait ipad 2 also sale sxsw,Positive emotion,0
sxsw hope years festival isnt crashy years iphone app sxsw,Negative emotion,1
sxtxstate great stuff fri sxsw marissa mayer google tim oreilly tech books conferences amp matt mullenweg wordpress,Positive emotion,0
teachntech00 new ipad apps speechtherapy communication showcased sxsw conference http htly 49n4m iear edchat asd,No emotion toward brand or product,2
nan,No emotion toward brand or product,2
sxsw starting ctia around corner googleio hop skip jump good time android fan,Positive emotion,0
beautifully smart simple idea rt madebymany thenextweb wrote hollergram ipad app sxsw http bitly ieavob,Positive emotion,0
counting days sxsw plus strong canadian dollar means stock apple gear,Positive emotion,0
excited meet samsungmobileus sxsw show sprint galaxy still running android 21 fail,Positive emotion,0
find amp start impromptu parties sxsw hurricaneparty http bitly gvlrin cant wait til android app comes,Positive emotion,0
foursquare ups game time sxsw http jmp grn7pk still prefer gowalla far best looking android app date,Positive emotion,0
got ta love sxsw google calendar featuring top parties show cases check rt hamsandwich via ischafer gthttp bitly axzwxb,Positive emotion,0
great sxsw ipad app madebymany http tinyurlcom 4nqv92l,Positive emotion,0
haha awesomely rad ipad app madebymany http bitly htdfim hollergram sxsw,Positive emotion,0
holler gram ipad itunes app store http tco kfn3f5q via marcisken sxsw,No emotion toward brand or product,2
noticed dst coming weekend many iphone users hour late sxsw come sunday morning sxsw iphone,Negative emotion,1
added sxsw flights planely matching people planes airports also downloaded klm iphone app nicely done,Positive emotion,0
must sxsw app rt malbonster lovely review forbes sxsw ipad app holler gram http tco g4gzypv,Positive emotion,0
need buy ipad2 im austin sxsw sure ill need q austin apple store,Positive emotion,0
oh god sxsw app ipad pure unadulterated awesome easier browse events ipad website,Positive emotion,0
okay really yay new foursquare android app11 kthxbai sxsw,Positive emotion,0
photo installed sxsw iphone app really nice http tumblrcom x6t1pi6av7,Positive emotion,0
really enjoying changes gowalla 30 android looking forward seeing else amp foursquare sleeves sxsw,Positive emotion,0
rt laurieshook im looking forward smcdallas pre sxsw party wed hoping ill win ipad resulting shameless promotion chevysmc,Positive emotion,0
rt haha awesomely rad ipad app madebymany http bitly htdfim hollergram sxsw via michaelpiliero,Positive emotion,0
someone started austin partnerhub group google groups presxsw great idea,Positive emotion,0
new 4sq3 looks like going rock update iphone android push tonight http bitly etsbzk sxsw keepaustinweird,Positive emotion,0
right gowalla 3 app android sweeeeet nice job team sxsw,Positive emotion,0
smart madebymany hollergram ipad app sxsw http tco a3xvwc6 may leave vuvuzela home,Positive emotion,0
must app ipad going sxsw http itunesapplecom us app hollergram id420666439mt8 hollergram,Positive emotion,0
attn sxsw frineds mention register gdgtlive see cobra iradar android link,No emotion toward brand or product,2
anyone sxsw want sell old ipad,No emotion toward brand or product,2
anyone sxsw bought new ipad want sell older ipad,No emotion toward brand or product,2
sxsw oooh rt mention google launch major new social network called circles possibly today link,No emotion toward brand or product,2
best rt mention ha first line ipad2 sxsw popup apple store event planner eventprofs pcma engage365,Positive emotion,0
spin play new concept music discovery ipad mention amp spincom link itunes sxsw mention,No emotion toward brand or product,2
mention false alarm google circles coming now\x89ûòand probably ever link google circles social sxsw,Negative emotion,1
vatornews google apple force print media evolve link sxsw,No emotion toward brand or product,2
mention great weather greet sxsw still need sweater nightapple putting flash store downtown sell ipad2,Positive emotion,0
hootsuite hootsuite mobile sxsw updates iphone blackberry amp android whether you\x89ûªre getting friend link,No emotion toward brand or product,2
hey sxsw long think takes us make iphone case answer mention using zazzlesxsw we\x89ûªll make one,No emotion toward brand or product,2
mashable ipad 2 takes sxsw video ipad sxsw gadgets link,No emotion toward brand or product,2
ipad rt mention new ubersocial iphone app store includes uberguide sxsw sponsored link,No emotion toward brand or product,2
ipad2 \x89û÷smartcover\x89ûª opens instant access waited get one link apple sxsw,Positive emotion,0
handheld \x89û÷hobo\x89ûª drafthouse launches \x89û÷hobo shotgun\x89ûª iphone app sxsw link,Positive emotion,0
hooray rt \x89ûïmention apple opening popup store austin sxsw mention link,Positive emotion,0
orly \x89ûïmention google set launch new social network circles today sxsw\x89û\x9d,No emotion toward brand or product,2
wooooo \x89ûïmention apple store downtown austin open til midnight sxsw\x89û\x9d,Positive emotion,0
khoi vinh mention says conde nasts headlong rush ipad publishing fundamental misunderstanding platform sxsw,No emotion toward brand or product,2
\x89ûïmention link lt help forward doc anonymous accounts techiesamp ppl help us jam libya sxsw,No emotion toward brand or product,2
\x89÷¼ \x89÷ link \x89ã edchat musedchat sxsw sxswi classical newtwitter,No emotion toward brand or product,2
mention mention locationbased fast fun future link via mention sxsw,No emotion toward brand or product,2
\x89ûïmention mention google connect digital amp physical worlds mobile link sxsw\x89û\x9d mention,No emotion toward brand or product,2
\x89ûïmention mention talking link googles effort allow users open systems bettercloud sxsw\x89û\x9d,Positive emotion,0
link rt mention google tweet new think speak mark belinsky 911tweets panel sxsw,No emotion toward brand or product,2
link rt mention 1st stop sxsw chaos amp mention hunt austin java get spy game 4 chance 2 win ipad,Positive emotion,0
link rt mention sxsw check holler gram ipad app mention link,No emotion toward brand or product,2
mention mention amp mention fun google pic sxsw link,No emotion toward brand or product,2
via mention link guy kawasaki talks enchanted sxsw knows stuff books internet apple sxsw ,No emotion toward brand or product,2
futuremf mention link spec recipes web google search link sxsw,No emotion toward brand or product,2
omfg rt mention heard apples popup store downtown austin pics already gowalla link sxsw ipad2,Positive emotion,0
smile rt mention think apples popup store austin would lot interesting actually know popped sxsw,No emotion toward brand or product,2
rt mention line apple store insane sxsw,Negative emotion,1
agree rt mention wait fiona apple town somebody kidnap put recording studio records new album sxsw,No emotion toward brand or product,2
sxsw mention mention wan na buy drink 7pm fado 4th link join us,No emotion toward brand or product,2
attending mention ipad design headaches sxsw link,Negative emotion,1
boooo rt mention flipboard developing iphone version android says mention sxsw,Negative emotion,1
check mention mention amp mention line ipad 2 austin power sxswi sxsw link,Positive emotion,0
check rt mention giving added value location based services needs battle checkin fatigue google pnid sxsw,No emotion toward brand or product,2
chilcott mention sxsw stand talking blogger staff late win competition best tweet mentioning mention tshirt,No emotion toward brand or product,2
rt mention come party w google tonight sxsw link bands food art ice cream nifty interactive maps,Positive emotion,0
gowallas mention promises launch foursquare checkin groupon rewardstype service sxsw fingers crossed link,No emotion toward brand or product,2
haha rt mention sxsw news yahoocom loosing search traffic new site googlecom doubt last tho w weird name,No emotion toward brand or product,2
holla rt mention google party best ever get butt sxsw,Positive emotion,0
love mention iphone case sxsw cant get phone fail,Positive emotion,0
worship mention link sxsw,No emotion toward brand or product,2
ipad2 rt mention droid amp mac rt mention agnerd confession using laptop ipad amp blackberry follow sxsw,No emotion toward brand or product,2
launching mention sxsw rt mention mention denies social network called circles debut today despite report link,No emotion toward brand or product,2
new post mention iphone app makes easy connect social networks people meet link sxsw,Positive emotion,0
nice mention iphone app behaving today crashes yesterday ridiculous sxsw,Positive emotion,0
nice rt mention apple opening popup store ipad launch downtown austin sxsw link via mention,No emotion toward brand or product,2
nice rt mention hey apple fans get peek space thats slated popup sxsw apple store tomorrow link,Positive emotion,0
one thing mention great get great earth face google company love sxsw sxwsi,Positive emotion,0
stay tune mention showcase h4ckers link sxsw,No emotion toward brand or product,2
thank mention mention touchingstories preso sxsw heres deck link,No emotion toward brand or product,2
thank mention awesome sxsw party link,No emotion toward brand or product,2
thanks rt mention youre trying contact friends family japan mention created person finder link sxsw,No emotion toward brand or product,2
thanks mention mention new speech ipad apps showcased sxsw conf link sxswh sxsh,Positive emotion,0
thanks mention publishing news new medical apps sxswi conf blog link sxsw sxswh mhealth,No emotion toward brand or product,2
mention sxsw provide iphone chargers ive changed mind going next year,Negative emotion,1
wonder mention amp mention apple flashmob tcrnch fcs45j sxsw ipad2,No emotion toward brand or product,2
wonder mention putting tips mention api sxsw suxsw,No emotion toward brand or product,2
xmas rt mention shiny new mention mention mention apps new garyvee book popup ipad 2 stores sxsw christmas nerds,Positive emotion,0
yai rt mention new ubersocial iphone app store includes uberguide sxsw sponsored cont link,Positive emotion,0
yes rt mention hey mention ive got another gem gt free mention sxsw link sxsw,No emotion toward brand or product,2
fast fun amp future mention google presenting sxsw search local mobile,Positive emotion,0
gsdampm amp googles industry party tonight mention see u link sxsw austin welivehere gsdm,No emotion toward brand or product,2
