tweet_text,is_there_an_emotion_directed_at_a_brand_or_product,brand_or_device,ipad,iphone,apple,google,android
wesley83 3g iphone 3 hrs tweeting riseaustin dead need upgrade plugin stations sxsw,negative emotion,iphone,0,1,0,0,0
jessedee know fludapp awesome ipad iphone app youll likely appreciate design also theyre giving free ts sxsw,positive emotion,"ipad, iphone",1,1,0,0,0
swonderlin wait ipad 2 also sale sxsw,positive emotion,ipad,1,0,0,0,0
sxsw hope years festival isnt crashy years iphone app sxsw,negative emotion,"ipad, iphone",1,1,0,0,0
sxtxstate great stuff fri sxsw marissa mayer google tim oreilly tech books conferences amp matt mullenweg wordpress,positive emotion,google,0,0,0,1,0
teachntech00 new ipad apps speechtherapy communication showcased sxsw conference http htly 49n4m iear edchat asd,no emotion toward brand or product,ipad,1,0,0,0,0
nan,no emotion toward brand or product,,0,0,0,0,0
sxsw starting ctia around corner googleio hop skip jump good time android fan,positive emotion,"android, google",0,0,0,1,1
beautifully smart simple idea rt madebymany thenextweb wrote hollergram ipad app sxsw http bitly ieavob,positive emotion,"ipad, iphone",1,1,0,0,0
counting days sxsw plus strong canadian dollar means stock apple gear,positive emotion,apple,0,0,1,0,0
excited meet samsungmobileus sxsw show sprint galaxy still running android 21 fail,positive emotion,android,0,0,0,0,1
find amp start impromptu parties sxsw hurricaneparty http bitly gvlrin cant wait til android app comes,positive emotion,android,0,0,0,0,1
foursquare ups game time sxsw http jmp grn7pk still prefer gowalla far best looking android app date,positive emotion,android,0,0,0,0,1
got ta love sxsw google calendar featuring top parties show cases check rt hamsandwich via ischafer gthttp bitly axzwxb,positive emotion,google,0,0,0,1,0
great sxsw ipad app madebymany http tinyurlcom 4nqv92l,positive emotion,"ipad, iphone",1,1,0,0,0
haha awesomely rad ipad app madebymany http bitly htdfim hollergram sxsw,positive emotion,"ipad, iphone",1,1,0,0,0
holler gram ipad itunes app store http tco kfn3f5q via marcisken sxsw,no emotion toward brand or product,ipad,1,0,0,0,0
noticed dst coming weekend many iphone users hour late sxsw come sunday morning sxsw iphone,negative emotion,iphone,0,1,0,0,0
added sxsw flights planely matching people planes airports also downloaded klm iphone app nicely done,positive emotion,"ipad, iphone",1,1,0,0,0
must sxsw app rt malbonster lovely review forbes sxsw ipad app holler gram http tco g4gzypv,positive emotion,"ipad, iphone",1,1,0,0,0
need buy ipad2 im austin sxsw sure ill need q austin apple store,positive emotion,"ipad, apple",1,0,1,0,0
oh god sxsw app ipad pure unadulterated awesome easier browse events ipad website,positive emotion,"ipad, iphone",1,1,0,0,0
okay really yay new foursquare android app11 kthxbai sxsw,positive emotion,android,0,0,0,0,1
photo installed sxsw iphone app really nice http tumblrcom x6t1pi6av7,positive emotion,"ipad, iphone",1,1,0,0,0
really enjoying changes gowalla 30 android looking forward seeing else amp foursquare sleeves sxsw,positive emotion,android,0,0,0,0,1
rt laurieshook im looking forward smcdallas pre sxsw party wed hoping ill win ipad resulting shameless promotion chevysmc,positive emotion,ipad,1,0,0,0,0
rt haha awesomely rad ipad app madebymany http bitly htdfim hollergram sxsw via michaelpiliero,positive emotion,"ipad, iphone",1,1,0,0,0
someone started austin partnerhub group google groups presxsw great idea,positive emotion,google,0,0,0,1,0
new 4sq3 looks like going rock update iphone android push tonight http bitly etsbzk sxsw keepaustinweird,positive emotion,"android, ipad, iphone",1,1,0,0,1
right gowalla 3 app android sweeeeet nice job team sxsw,positive emotion,android,0,0,0,0,1
smart madebymany hollergram ipad app sxsw http tco a3xvwc6 may leave vuvuzela home,positive emotion,"ipad, iphone",1,1,0,0,0
must app ipad going sxsw http itunesapplecom us app hollergram id420666439mt8 hollergram,positive emotion,"ipad, apple, iphone",1,1,1,0,0
